,genre,budget_norm,votes_norm,votes,budget,country,year,score_norm,score,rating,isprofit,profitability_ratio
1902,3,0.2203191807705572,-0.1200959012408243,49189,35000000,0,2009,1.200789857684695,7.3,4,0,-0.685677943
1903,9,-1.2167375622286705,-0.3959112460133726,33194,900000,1,2009,0.1446894699177893,6.4,6,0,-0.888156667
1904,4,0.3467464602133046,2.066355018157739,175985,38000000,1,2009,0.2620339574474452,6.5,6,1,1.339874053
1905,1,1.2738798427934517,0.4147220367473333,80204,60000000,1,2009,-1.6154778430270544,4.9,5,0,-0.277712017
1906,4,-0.4118172164431792,-0.2978799715506069,38879,20000000,1,2009,-0.0899995051415233,6.2,5,0,-0.13843545
1907,3,0.4310313131751361,0.5180816601650673,86198,40000000,1,2009,0.8487563950957264,7.0,5,1,1.35313565
1908,9,0.4310313131751361,0.4331729538405891,81274,40000000,1,2009,-1.263444380438086,5.2,6,1,0.6619425
1909,6,2.116728372411767,-0.2950864682149925,39041,80000000,0,2009,-0.5593774552601488,5.8,5,0,-0.754199738
1910,3,-0.8964551209737106,-0.5797134191881517,22535,8500000,0,2009,0.8487563950957264,7.0,4,0,-0.477101529
1911,0,0.3467464602133046,0.6771561556653334,95423,38000000,1,2009,-0.2073439926711802,6.1,5,0,-0.162997368
1912,4,1.9060162400071885,0.8303504990826087,104307,75000000,1,2009,0.0273449823881324,6.3,6,0,-0.3085994
1913,4,0.0096070483659784,0.5173574185595375,86156,30000000,1,2009,-0.9114109178491172,5.5,4,1,0.957183667
1914,4,1.2738798427934517,0.5447234049399086,87743,60000000,1,2009,-0.9114109178491172,5.5,5,1,0.820094333
1915,9,0.0096070483659784,1.9054699186436488,166655,30000000,1,2009,0.379378444977101,6.6,5,1,0.403354167
1916,0,0.2203191807705572,1.3172305403238027,132542,35000000,1,2009,0.379378444977101,6.6,6,1,0.308637571
1917,0,-0.1589626575576846,0.5716238074310105,89303,26000000,1,2009,-1.263444380438086,5.2,4,0,-0.199264269
1918,6,0.3888888866942203,1.1519827473287836,122959,39000000,1,2009,0.9661008826253824,7.1,5,1,0.626021692
