,rating,year,budget,country,budget_norm,isprofit,profitability_ratio
269,6,1991,75000000,1,1.839502859057428,1,0.0382478
270,6,1991,6000000,1,-1.0492825931721106,1,3.034025667
271,4,1991,25000000,1,-0.2538199324132523,1,2.14627252
272,6,1991,11000000,1,-0.8399503140250427,1,2.170184818
273,6,1991,65000000,1,1.4208383007632917,0,-0.735106462
274,4,1991,20000000,1,-0.4631522115603202,1,0.90187565
275,6,1991,15000000,1,-0.6724844907073882,1,1.0068478
276,6,1991,3500000,0,-1.1539487327456446,0,-0.424054286
277,5,1991,13500000,1,-0.7352841744515087,1,0.944858815
278,6,1991,30000000,1,-0.0444876532661842,1,0.637133867
279,6,1991,30000000,1,-0.0444876532661842,1,1.492919967
280,5,1991,23000000,1,-0.3375528440720794,1,2.779583087
281,6,1991,14000000,1,-0.7143509465368019,1,1.833797214
282,5,1991,50000000,1,0.7928414633220877,0,-0.13997
283,6,1991,8000000,1,-0.9655496815132836,0,-0.715555375
284,6,1991,15000000,1,-0.6724844907073882,1,1.534425333
285,6,1991,30000000,0,-0.0444876532661842,0,-0.481455333
286,6,1991,23000000,1,-0.3375528440720794,0,-0.676751043
287,6,1991,23000000,1,-0.3375528440720794,0,-0.119704783
288,6,1991,17000000,1,-0.5887515790485611,0,-0.453746235
289,4,1991,10000000,1,-0.8818167698544563,1,1.5010896
290,6,1991,1400000,1,-1.2418682899874132,0,-0.917783571
291,6,1991,8000000,1,-0.9655496815132836,1,1.377290125
292,6,1991,10000000,1,-0.8818167698544563,0,-0.081185
293,5,1991,17000000,1,-0.5887515790485611,0,-0.729180647
294,6,1991,48000000,1,0.7091085516632605,0,-0.667376688
295,6,1991,7500000,1,-0.9864829094279904,0,-0.164450533
296,5,1991,18000000,1,-0.5468851232191475,0,-0.9165675
297,5,1991,35000000,1,0.1648446258808837,0,-0.583207657
298,6,1991,40000000,1,0.3741769050279517,0,-0.553493
299,6,1991,36000000,1,0.2067110817102973,0,-0.962697139
300,6,1991,26000000,1,-0.2119534765838387,0,-0.520970462
301,4,1991,17010000,1,-0.5883329144902669,1,0.331097531
302,6,1991,22000000,1,-0.3794192999014931,0,-0.499960773
303,5,1991,16400000,1,-0.6138714525462092,1,0.285497866
304,6,1991,4000000,1,-1.1330155048309378,0,-0.935247
305,6,1991,15000000,1,-0.6724844907073882,0,-0.6871176
306,6,1992,1200000,1,-1.250241581153296,1,1.360024167
307,6,1992,10000000,1,-0.8818167698544563,0,-0.5839149
308,4,1992,40000000,1,0.3741769050279517,1,1.6883482
309,5,1992,55000000,1,1.0021737424691557,1,0.06223
310,4,1992,15000000,1,-0.6724844907073882,0,-0.812034333
311,6,1992,11000000,1,-0.8399503140250427,1,0.045725091
312,6,1992,35000000,0,0.1648446258808837,1,1.381803971
313,6,1992,12500000,1,-0.7771506302809222,0,-0.14198176
314,6,1992,6000000,1,-1.0492825931721106,1,3.298718333
315,6,1992,45000000,1,0.5835091841750197,1,0.850830289
316,5,1992,24000000,1,-0.2956863882426659,0,-0.061745958
317,5,1992,31000000,0,-0.0026211974367706,0,-0.693765839
318,6,1992,15000000,1,-0.6724844907073882,1,1.0349842
319,6,1992,5000000,1,-1.0911490490015243,1,1.5069922
320,5,1992,7000000,1,-1.007416137342697,1,1.374922286
321,6,1992,8000000,1,-0.9655496815132836,1,1.136556625
322,6,1992,5000000,1,-1.0911490490015243,1,3.029376
323,5,1992,60000000,1,1.2115060216162237,0,-0.018602667
324,6,1992,35000000,1,0.1648446258808837,1,3.135186486
325,6,1992,10000000,0,-0.8818167698544563,1,2.2101
326,6,1992,16000000,1,-0.6306180348779747,1,1.995182438
327,1,1992,1000000,1,-1.2586148723191788,1,1.000022
328,5,1992,35000000,1,0.1648446258808837,1,0.469514286
329,6,1992,40000000,1,0.3741769050279517,1,0.7525
330,6,1992,8000000,1,-0.9655496815132836,1,1.7132625
331,5,1992,43000000,1,0.4997762725161925,0,-0.501114372
332,6,1992,15000000,1,-0.6724844907073882,1,1.9377102
333,6,1992,16000000,1,-0.6306180348779747,0,-0.182098125
334,5,1992,30000000,1,-0.0444876532661842,0,-0.529646667
335,4,1992,40000000,1,0.3741769050279517,1,0.4665613
336,5,1992,35000000,1,0.1648446258808837,0,-0.867086371
337,5,1992,40000000,1,0.3741769050279517,1,0.137519925
338,5,1992,30000000,1,-0.0444876532661842,0,-0.7571204
339,6,1992,18000000,1,-0.5468851232191475,1,0.199540444
340,5,1992,27000000,0,-0.170087020754425,0,-0.456151074
341,6,1992,15000000,1,-0.6724844907073882,1,0.5107172
342,5,1992,25000000,1,-0.2538199324132523,1,0.40835416
343,5,1992,40000000,1,0.3741769050279517,0,-0.641049175
344,6,1992,15000000,1,-0.6724844907073882,1,1.6818
345,6,1992,4000000,1,-1.1330155048309378,0,-0.656701
346,6,1992,32000000,1,0.0392452583926429,0,-0.106541719
347,6,1992,15500000,0,-0.6515512627926815,0,-0.565021419
348,6,1992,30000000,1,-0.0444876532661842,0,-0.429033333
349,6,1992,50000000,1,0.7928414633220877,0,-0.06666996
350,6,1992,17000000,1,-0.5887515790485611,0,-0.715491941
351,5,1992,40000000,1,0.3741769050279517,0,-0.47792385
352,6,1992,5000000,1,-1.0911490490015243,0,-0.7898278
353,6,1992,18000000,1,-0.5468851232191475,0,-0.645778944
354,6,1992,3000000,0,-1.1748819606603516,0,-0.952815333
355,6,1992,800000,1,-1.2669881634850615,0,-0.856855
356,5,1992,24000000,1,-0.2956863882426659,0,-0.974630583
357,5,1992,13000000,1,-0.7562174023662155,0,-0.713699154
358,4,1993,28000000,1,-0.1282205649250115,1,0.41123975
359,6,1993,25000000,1,-0.2538199324132523,1,1.2602026
360,6,1993,22000000,1,-0.3794192999014931,1,3.366689955
361,4,1993,18000000,1,-0.5468851232191475,1,3.171259333
362,6,1993,6900000,1,-1.0116027829256384,1,0.158411449
363,6,1993,13000000,1,-0.7562174023662155,0,-0.055269231
364,5,1993,75000000,1,1.839502859057428,0,-0.347746093
365,6,1993,22000000,1,-0.3794192999014931,0,-0.215137682
366,5,1993,11000000,1,-0.8399503140250427,0,-0.166344182
367,5,1993,20000000,0,-0.4631522115603202,1,0.78698775
368,5,1993,85000000,1,2.258167417351564,0,-0.411571835
369,6,1993,70000000,1,1.6301705799103596,1,0.200703014
370,4,1993,20000000,1,-0.4631522115603202,1,2.88493125
371,6,1993,38000000,1,0.2904439933691245,1,1.805634211
372,5,1993,26000000,1,-0.2119534765838387,1,1.974016231
373,6,1993,30000000,1,-0.0444876532661842,1,0.231610733
374,6,1993,57000000,1,1.085906654127983,1,0.018522246
375,4,1993,42000000,0,0.4579098166867789,0,-0.502012738
376,6,1993,40000000,1,0.3741769050279517,0,-0.0925
377,5,1993,14000000,1,-0.7143509465368019,1,1.5080485
378,6,1993,18000000,1,-0.5468851232191475,1,0.810537611
379,6,1993,8000000,1,-0.9655496815132836,0,-0.687181125
380,5,1993,20000000,1,-0.4631522115603202,0,-0.42072585
381,6,1993,15000000,1,-0.6724844907073882,0,-0.361395467
382,5,1993,40000000,1,0.3741769050279517,1,0.204945125
383,5,1993,45000000,1,0.5835091841750197,1,1.239290133
384,6,1993,15000000,1,-0.6724844907073882,1,1.6067304
385,6,1993,40000000,1,0.3741769050279517,1,1.557857075
386,5,1993,15000000,1,-0.6724844907073882,1,0.34
387,4,1993,15000000,1,-0.6724844907073882,1,0.5303312
388,5,1993,22000000,1,-0.3794192999014931,0,-0.513808636
389,6,1993,9000000,1,-0.9236832256838698,0,-0.733863222
390,5,1993,25000000,1,-0.2538199324132523,1,0.5564788
391,4,1993,6000000,1,-1.0492825931721106,0,-0.063768167
392,6,1993,35000000,1,0.1648446258808837,1,0.802722029
393,6,1993,14000000,1,-0.7143509465368019,1,0.965413286
394,5,1993,35000000,1,0.1648446258808837,0,-0.467553714
395,6,1993,19000000,1,-0.5050186673897339,0,-0.994386421
396,4,1993,15000000,1,-0.6724844907073882,1,2.5569444
397,4,1993,35000000,0,0.1648446258808837,0,-0.861196029
398,6,1993,12000000,1,-0.7980838581956291,0,-0.465777
399,4,1993,17000000,1,-0.5887515790485611,1,1.509411765
400,6,1993,13000000,1,-0.7562174023662155,0,-0.967010154
401,6,1993,11000000,1,-0.8399503140250427,1,1.987376
402,6,1993,21000000,1,-0.4212857557309067,0,-0.422050571
403,6,1993,30000000,1,-0.0444876532661842,0,-0.206712567
404,6,1993,15000000,1,-0.6724844907073882,1,0.479269267
405,5,1993,7500000,1,-0.9864829094279904,1,1.519893867
406,4,1993,13500000,1,-0.7352841744515087,0,-0.164030519
407,5,1993,22000000,1,-0.3794192999014931,1,1.042849773
408,6,1993,11500000,0,-0.8190170861103359,0,-0.715166522
409,4,1993,6500000,1,-1.0283493652574038,1,2.708245231
410,6,1993,15000000,1,-0.6724844907073882,0,-0.572008267
411,4,1993,7000000,1,-1.007416137342697,1,0.820270143
412,0,1993,13000000,0,-0.7562174023662155,0,-0.494238769
413,4,1993,30000000,1,-0.0444876532661842,0,-0.732561767
414,5,1993,8000000,1,-0.9655496815132836,0,-0.83758525
415,4,1993,10000000,1,-0.8818167698544563,0,-0.5752838
416,5,1993,18000000,1,-0.5468851232191475,0,-0.915102056
417,6,1993,11000000,1,-0.8399503140250427,1,0.517838091
418,6,1993,6000000,1,-1.0492825931721106,1,1.162439333
419,6,1993,1000000,1,-1.2586148723191788,1,0.753979
420,5,1993,14000000,1,-0.7143509465368019,0,-0.425639357
421,6,1993,12000000,1,-0.7980838581956291,0,-0.576090917
422,6,1993,10000000,0,-0.8818167698544563,0,-0.9927505
423,4,1993,12000000,1,-0.7980838581956291,0,-0.858059833
424,0,1993,19000000,1,-0.5050186673897339,0,-0.888421368
425,6,1993,8000000,1,-0.9655496815132836,0,-0.8907315
426,5,1993,13000000,1,-0.7562174023662155,0,-0.759582769
427,6,1993,999999,1,-1.2586149141856344,0,-0.761769762
428,6,1993,2500000,1,-1.1958151885750583,0,-0.6943668
429,5,1993,5000000,1,-1.0911490490015243,0,-0.999406
430,6,1993,800000,1,-1.2669881634850615,1,0.25179625
431,6,1994,25000000,1,-0.2538199324132523,1,0.13365876
432,6,1994,30000000,1,-0.0444876532661842,1,3.041604833
433,6,1994,34000000,1,0.1229781700514701,1,0.478904882
434,6,1994,30000000,1,-0.0444876532661842,1,1.2212961
435,6,1994,23000000,1,-0.3375528440720794,1,1.204050522
436,5,1994,63000000,1,1.3371053891044644,0,-0.602349206
437,4,1994,46000000,1,0.6253756400044334,1,1.837237283
438,5,1994,11500000,1,-0.8190170861103359,1,0.824570174
439,4,1994,35000000,1,0.1648446258808837,1,1.161967657
440,6,1994,18000000,1,-0.5468851232191475,0,-0.672919056
441,6,1994,8000000,1,-0.9655496815132836,1,1.261272625
442,5,1994,62000000,1,1.295238933275051,1,0.970769629
443,4,1994,40000000,1,0.3741769050279517,0,-0.0478061
