,rating,country,votes_norm,popularity_norm,score,votes,budget_norm,company,score_norm,genre,year,writer,popularity,budget,isprofit,profitability_ratio
346,3,0,-0.8123732750832544,0.2655551903733534,7.1,23075,-0.016796057407418,10,0.9004414909375088,3,2013,488,11.318079,35000000,0,-0.762197571
347,4,1,-0.9432686050662742,-1.0629719173907348,6.7,12301,-0.5838218701583096,17,0.3595981543037382,4,2013,288,6.102021,17000000,1,3.148540882
348,4,1,-0.920865506079019,1.9135879865553616,5.8,14145,-0.7413290403668905,10,-0.8572993531222477,4,2013,92,17.788579,12000000,0,-0.978192083
349,4,0,3.228336646429883,0.9844955847502564,7.7,355666,-0.6468247382417419,10,1.7117064958881665,6,2014,15,14.14078,15000000,1,0.6961972
350,3,1,3.404354053223459,2.8773722364509644,6.7,370154,1.5582756446783916,13,0.3595981543037382,1,2014,131,21.572585,85000000,1,0.775857588
351,4,1,2.0042940075660227,1.870156126811826,7.2,254915,0.6132326234269059,1,1.0356523250959524,0,2014,396,17.618057,55000000,1,0.846013418
352,4,1,2.416139263839866,0.159451729074862,7.1,288814,0.4557254532183249,1,0.9004414909375088,0,2014,317,10.901496,50000000,1,2.83438674
353,4,1,3.126344229945063,2.802105492356175,7.9,347271,-0.8515840595128972,10,1.9821281642050523,5,2014,87,21.277073,8500000,1,2.809555059
354,1,0,0.6252642028776423,-0.3674470623205615,6.8,141407,-1.0563433807840523,10,0.4948089884621806,6,2014,200,8.832788,2000000,0,-0.5378605
355,3,1,0.6262482869437853,1.140566493698942,6.1,141488,1.7157828148869727,10,-0.4516668506469194,0,2014,459,14.753545,90000000,0,-0.563082844
356,4,0,0.344192784726801,-0.3847411550275797,8.1,118272,-1.0153915165298215,10,2.252549832521937,4,2014,85,8.764888,3300000,0,-0.05846303
357,4,1,1.8587103117068688,0.669660829559936,6.2,242932,2.3458114957212968,19,-0.3164560164884759,0,2014,490,12.904677,110000000,0,-0.031090445
358,4,1,-0.8203795886584178,-0.9338115336121916,7.1,22416,-0.8673347765337552,10,0.9004414909375088,6,2014,388,6.60913,8000000,0,-0.823635625
359,4,1,0.8071132189520659,-0.3960954018432811,7.3,156375,-0.7728304744086067,10,1.1708631592543948,4,2014,232,8.720309,11000000,1,1.785485091
360,4,1,0.7047198793291877,0.0276228591506428,6.1,147947,0.1407111128011629,10,-0.4516668506469194,4,2014,430,10.38391,40000000,1,0.0784825
361,4,1,0.4391872700746043,2.6356769755426352,6.5,126091,0.9282469638440678,10,0.0891764859868523,5,2014,136,20.623642,65000000,0,-0.788341477
362,3,1,0.7565118592547133,1.538603918471022,6.3,152210,1.0857541340526489,17,-0.1812451823300335,0,2014,305,16.316318,70000000,0,-0.195994929
363,3,1,0.3359070398735971,0.0683862327485023,7.2,117590,0.9282469638440678,10,1.0356523250959524,3,2014,210,10.543955,65000000,1,0.779044538
364,3,1,-0.3462576049395252,1.2791932919641085,5.5,61441,1.8732899850955536,10,-1.262931855597576,0,2014,64,15.297821,95000000,0,-0.818702474
365,3,1,0.0762546366438681,0.0305676942004003,6.5,96218,0.1407111128011629,10,0.0891764859868523,4,2014,164,10.395472,40000000,1,0.15736525
366,3,1,-0.4691952180913887,-0.529388284210504,6.7,51322,-0.3003089637828637,10,0.3595981543037382,6,2014,167,8.196975,26000000,1,0.029280115
367,3,1,0.1886710547182028,0.2443598661789515,6.2,105471,0.7707397936354868,11,-0.3164560164884759,0,2014,5,11.234862,60000000,0,-0.157043133
368,3,1,0.677882327451288,2.036557900183035,6.5,145738,0.959748397885784,4,0.0891764859868523,0,2014,148,18.271383,66000000,0,-0.339732788
369,2,0,-0.1421755784818709,2.359530302825332,6.2,78239,2.881335874430472,16,-0.3164560164884759,1,2014,104,19.539436,127000000,0,-0.104357315
370,4,1,-0.1967497220018009,-0.9763886219989568,6.7,73747,-0.9618390786589038,10,0.3595981543037382,9,2014,435,6.441964,5000000,0,-0.93548
371,3,1,-0.5435846839801979,0.4971073003543737,5.6,45199,-0.174303227615999,10,-1.1277210214391336,0,2014,397,12.227198,30000000,0,-0.740295133
372,3,0,1.2047682259758474,-0.1388828315964785,6.3,189106,2.030797155304134,10,-0.1812451823300335,6,2014,174,9.730176,100000000,0,-0.76977691
373,4,1,0.3291520924566155,-0.5531784864093111,7.0,117034,-0.3633118318662962,10,0.7652306567790664,3,2014,120,8.10357,24000000,0,-0.4959875
374,3,1,-0.0885490714700787,0.8609592195440797,7.3,82653,-0.7098276063251743,10,1.1708631592543948,4,2014,462,13.655752,13000000,1,2.394992154
375,4,1,-0.076885852908384,-0.5641730976005307,6.2,83613,-0.8673347765337552,10,-0.3164560164884759,4,2014,472,8.060403,8000000,1,2.25613525
376,3,1,-0.2790604571637611,-0.7291106038292855,7.0,66972,-0.8043319084503229,10,0.7652306567790664,3,2014,419,7.412826,10000000,1,0.4479776
377,4,1,0.7341695061974668,1.938895942781284,7.4,150371,0.4557254532183249,19,1.3060739934128385,5,2014,351,17.887943,50000000,0,-0.05761224
378,3,1,0.2078303210429868,1.3058796816175764,5.7,107048,-0.016796057407418,17,-0.99251018728069,1,2014,426,15.402597,35000000,1,1.463086
379,4,1,0.4787693180683557,2.7069215059109277,6.3,129349,0.2037139808845953,10,-0.1812451823300335,4,2014,426,20.903362,42000000,1,0.296318024
380,4,1,-0.4535835140791203,1.7605464728740887,7.0,52607,-0.4893175680331609,10,0.7652306567790664,5,2014,168,17.187708,20000000,0,-0.7129845
381,4,1,-0.3655626614963304,0.2644294188009674,6.6,59852,-0.4956178548415041,10,0.2243873201452946,4,2014,245,11.313659,19800000,1,0.731825354
382,3,1,-0.5459416260645404,-0.741667032052603,6.2,45005,0.7707397936354868,10,-0.3164560164884759,6,2014,10,7.363527,60000000,0,-0.999625817
383,4,0,-0.4073194137843978,1.1832930906633063,6.3,56415,-0.4263146999497285,10,-0.1812451823300335,6,2014,413,14.921298,22000000,0,-0.865317636
384,2,1,-0.3477398056317405,1.06752989799506,7.3,61319,-0.4263146999497285,10,1.1708631592543948,4,2014,453,14.466789,22000000,1,1.465491864
385,4,1,0.0706052651530472,1.181669636364123,6.5,95753,-0.2373060956994314,10,0.0891764859868523,5,2014,279,14.914924,28000000,0,-0.060442857
386,3,1,0.2434152868421575,0.2182656527485144,6.1,109977,1.0857541340526489,1,-0.4516668506469194,6,2014,147,11.132411,70000000,1,0.114737429
387,2,0,-0.4065297166942831,1.378275453503331,7.2,56480,0.6132326234269059,10,1.0356523250959524,2,2014,368,15.686837,55000000,1,0.385883236
388,3,1,-0.233707545819171,-0.2189498962398568,5.1,70705,0.9282469638440678,10,-1.803775192231348,0,2014,456,9.415817,65000000,0,-0.706534
