,budget_norm,year,budget,genre,popularity_norm,votes_norm,country,popularity,votes,isprofit,profitability_ratio
1319,-0.50229855279881,2003,18000000,4,0.8721862178982028,-0.51955959603971,1,11.10416,26603,0,-0.822053111
1320,0.9531650003060592,2003,52000000,0,-0.0065588498797315,-0.2318768889568789,1,7.963481,43940,0,-0.557298308
1321,-0.2026442918654545,2003,25000000,2,0.451060070054271,-0.8580352180663344,1,9.599034,6205,1,0.57599
1322,-0.5451063043607178,2003,17000000,4,-0.2879986559778613,-0.7571131309418159,1,6.957601,12287,1,0.337322706
1323,-1.1658187020083826,2003,2500000,6,-0.7546566207042907,-0.8037908407545865,1,5.289742,9474,0,-0.7805152
1324,-0.8447605652940733,2003,10000000,4,-0.8050663768832403,-0.6201995924899246,0,5.109575,20538,1,2.1041759
1325,-0.9303760684178892,2003,8000000,6,-1.500148944085432,-0.8604412855824567,0,2.625315,6060,0,-0.853232625
1326,-0.6307218074845337,2003,15000000,5,-0.2874287143496136,-0.441370698550277,1,6.959638,31315,0,-0.185838867
1327,-1.135853275915047,2003,3200000,5,0.7575496081285408,-0.4706749415397376,1,10.694443,29549,1,1.5762125
1328,-0.5451063043607178,2003,17000000,3,0.4369262451397219,-0.6779949935840874,0,9.548519,17055,0,-0.907558588
1329,-1.1016070746655209,2003,4000000,4,-1.423946601230785,-0.7941997578282511,1,2.897666,10052,0,-0.81693975
1330,-1.2364514920855307,2003,850000,4,-1.3015991317002589,-0.7075979208169287,1,3.334942,15271,0,-0.035365882
1331,-0.5879140559226258,2003,16000000,4,-1.2362421876645329,-0.820401003400368,1,3.568531,8473,0,-0.118217625
1332,-0.4166830496749941,2003,20000000,2,0.7327620437055027,-0.7526162737220289,1,10.605851,12558,1,1.39439715
1333,-0.9303760684178892,2003,8000000,4,1.3047439342769012,-0.8379735930525983,1,12.650143,7414,0,-0.957943
1334,-0.5451063043607178,2003,17000000,4,-0.3949070587206052,-0.9014108076328408,1,6.575505,3591,1,1.209778235
1335,-1.0587993231036128,2003,5000000,4,-1.194985352685814,-0.7270953644820569,0,3.715985,14096,0,-0.8206014
1336,-0.951779944198843,2003,7500000,6,-0.5275588042870224,-0.6500680168279932,0,6.101401,18738,0,-0.9737136
1337,-0.9817453702921786,2003,6800000,5,-0.593854459251944,-0.7763118903635633,1,5.864457,11130,0,-0.995113971
1338,0.011394465944085,2003,30000000,4,-0.7694543982373145,-0.7626553830134353,1,5.236854,11953,0,-0.5263872
1339,-0.6307218074845337,2003,15000000,0,-0.0411991018320371,-0.8374923795493739,0,7.839675,7443,0,-0.998728867
1340,-0.8447605652940733,2003,10000000,5,-1.3910293245100702,-0.7764778260543304,0,3.015314,11120,0,-0.8988946
1341,-1.2300303293512445,2003,1000000,6,0.7134050129411107,-0.8958519619921447,1,10.536668,3926,0,-0.720718
1342,1.55247352217277,2004,66000000,0,1.460508673502948,3.378717806443318,1,13.206854,261530,0,-0.096606697
1343,-0.2026442918654545,2004,25000000,4,-0.4788557952520647,1.8814136943759368,1,6.275468,171296,0,-0.29127108
1344,0.3110487268774404,2004,37000000,4,-0.0737487284302594,0.8244531248970718,1,7.723341,107599,1,0.914371892
1345,0.8675494971822433,2004,50000000,1,-0.2938530784763674,1.552313438877651,1,6.936677,151463,0,-0.51986548
1346,-0.1170287887416387,2004,27000000,6,0.804137929472631,1.9882596856608397,1,10.860952,177735,1,0.258805815
1347,0.3110487268774404,2004,37000000,4,1.2998340983944798,1.237417278509024,1,12.632595,132486,1,0.546803973
1348,-0.2026442918654545,2004,25000000,3,2.110401612635281,2.0596618133979003,1,15.529604,182038,1,1.06722452
1349,3.221975833087179,2004,105000000,0,-0.8188387071568002,2.2511847876812268,1,5.060352,193580,0,-0.449895124
1350,-0.4166830496749941,2004,20000000,4,0.1114809017772046,0.1772375566292779,1,8.385361,68595,1,1.57190875
1351,1.9377432862299413,2004,75000000,4,0.8807837467901017,3.745717773712798,1,11.134888,283647,1,0.612107653
1352,-0.1598365403035466,2004,26000000,4,0.6556139950563168,3.78871171119054,1,10.33012,286238,1,2.280319346
1353,1.2956270128013223,2004,60000000,0,1.3008441569501863,1.6508128649169709,1,12.636205,157399,1,0.338037183
1354,0.4394719815631641,2004,40000000,4,0.0732984500145813,0.0316123944121165,1,8.248895,59819,1,1.379262025
1355,1.509665770610862,2004,65000000,0,3.042419015285637,1.4197806026620097,1,18.860681,143476,0,-0.193662985
1356,0.52508748468698,2004,42000000,4,2.1652240096679845,0.8932832494272434,1,15.725542,111747,1,1.097551524
1357,-0.2026442918654545,2004,25000000,6,-0.9825165976494664,-0.5707009759341142,1,4.475359,23521,0,-0.4335364
1358,-0.8875683168559811,2004,9000000,1,0.0999376951915441,1.7470721591309353,1,8.344105,163200,1,1.025018333
1359,0.011394465944085,2004,30000000,0,0.9630581923527666,1.4098908354922937,1,11.428941,142880,1,0.092494467
1360,0.2254332237536246,2004,35000000,4,0.9317343459574672,-0.102247927329661,1,11.316988,51752,0,-0.345188943
1361,-0.8447605652940733,2004,10000000,4,-0.7440482079232328,-0.7380969007799122,1,5.327657,13433,0,-0.056361
1362,-0.6307218074845337,2004,15000000,4,-0.1577055790055181,-0.5530288248674236,0,7.423275,24586,1,0.955404533
1363,0.6535107393727038,2004,45000000,0,-0.0380872261376963,1.7758951886171714,0,7.850797,164937,1,0.137810067
1364,-1.157257151696001,2004,2700000,6,-0.2624377392423654,2.0785287014381133,1,7.048957,183175,1,1.14548963
1365,0.4394719815631641,2004,40000000,10,0.4301451428804123,1.6584293131231782,1,9.524283,157858,1,0.2005725
1366,0.6535107393727038,2004,45000000,5,-0.0365027492399215,0.1871936980753007,1,7.85646,69195,0,-0.273725733
1367,3.007937075277639,2004,100000000,0,1.4978383112828029,0.5879781719849517,1,13.340272,93348,0,-0.59797621
1368,2.151782044039481,2004,80000000,2,-0.092987685867641,-0.349575074417946,1,7.65458,36847,1,0.052710413
1369,2.151782044039481,2004,80000000,4,0.8997750859942978,0.188471402894207,1,11.202764,69272,0,-0.474445988
1370,1.7237045284204018,2004,70000000,0,0.4628383041154981,0.2901402006271773,1,9.64113,75399,0,-0.460570286
1371,0.011394465944085,2004,30000000,2,0.9028382774258424,0.1027656186130267,1,11.213712,64107,1,1.847266267
1372,-0.0742210371797308,2004,28000000,3,0.0733275486544134,-0.3108954649001471,0,8.248999,39178,1,1.299217607
1373,0.4394719815631641,2004,40000000,4,-0.0556099234142179,0.466546433481626,0,7.78817,86030,1,0.005655375
1374,-0.6307218074845337,2004,15000000,7,-1.0072378507490414,-0.563184089142367,1,4.387004,23974,0,-0.305868
1375,0.011394465944085,2004,30000000,6,-0.6662667042684732,-0.1755417219414661,1,5.605652,47335,0,-0.572295967
1376,1.2956270128013223,2004,60000000,4,0.7804074291004128,1.1239504531625166,1,10.776138,125648,1,0.470629233
1377,0.6535107393727038,2004,45000000,0,2.0838566582431586,-0.1736666486357984,1,15.434731,47448,0,-0.533129333
