,votes,runtime_norm,score,rating,country,runtime,year,votes_norm,genre,score_norm,budget_norm,budget,popularity,popularity_norm,isprofit,profitability_ratio
97,32498,-1.2352487935600538,5.9,5,1,88,1988,-0.4586544277052353,9,-0.4430556024242068,-1.0868793450589165,5000000,6.199806,-0.5618273540172379,1,2.5537514
98,45768,0.1152294968238977,6.8,5,1,107,1988,-0.2470665923426746,0,0.627259325613906,-0.7458227098179959,13000000,9.905174,0.4810510053494234,1,2.512427385
99,20071,-0.0980039174472525,6.2,5,1,104,1988,-0.6568007751091948,4,-0.0862839597448358,-1.044247265653801,6000000,6.854978,-0.3774287462506208,1,1.132202167
100,99555,-0.2401595269613527,5.7,5,1,102,1988,0.6105577407881507,0,-0.6809033642104544,1.3857812604377566,63000000,11.624866,0.965059495619748,0,-0.147371254
101,39701,-0.8798597697748034,5.7,5,1,93,1988,-0.3438038490981122,9,-0.6809033642104544,-0.7458227098179959,13000000,8.120317,-0.0212982187665351,1,2.797684538
102,31340,-1.0220153792889035,6.6,3,1,91,1988,-0.4771185357195417,4,0.3894115638276583,-0.2768698363617303,24000000,11.666172,0.9766850975874872,1,0.72730125
103,24061,-0.4533929412325029,6.0,5,1,99,1988,-0.5931809210702635,0,-0.3241317215310835,-0.9802991465461288,7500000,5.283245,-0.8197940747152808,1,1.5159508
104,17315,-0.3823151364754528,5.2,3,0,100,1988,-0.700744714390221,4,-1.275522768676073,-0.873718948033341,10000000,11.509677,0.9326394727402156,0,-0.6083697
105,35531,-2.230338060158755,6.7,0,1,74,1988,-0.4102937717403034,2,0.5083354447207826,0.0215547194740749,31000000,10.813579,0.7367222142659121,1,1.391978903
106,33312,-1.0220153792889035,6.3,5,1,91,1988,-0.4456753396882704,0,0.0326399211482874,0.0215547194740749,31000000,7.066395,-0.317925286917507,1,0.222686935
107,68098,-0.3112373317184028,7.0,4,1,101,1988,0.1089813627173088,4,0.8651070874001535,0.06418679887919,32000000,11.465634,0.9202435402494116,1,0.885267438
108,24708,0.6838519348802984,6.0,5,1,115,1988,-0.582864618924101,5,-0.3241317215310835,-0.3195019157668454,23000000,6.399977,-0.5054890890803183,1,0.795328304
109,41608,1.0392409586655489,6.9,5,1,120,1988,-0.3133970667291292,5,0.7461832065070303,-0.4473981539821905,20000000,8.105859,-0.0253674327608597,0,-0.1181025
110,14929,-1.2352487935600538,6.3,4,1,88,1988,-0.7387890682089904,4,0.0326399211482874,-0.9589831068435712,8000000,9.631158,0.4039290146267161,1,1.804159375
111,43852,1.4657077872078492,7.2,3,0,126,1988,-0.2776168781418205,1,1.1029548491864012,0.6878941205760232,46630000,7.753416,-0.1245627563050435,0,-0.826654021
112,32130,0.7549297396373484,7.3,5,0,116,1988,-0.4645221235163448,6,1.2218787300795244,-0.7458227098179959,13000000,5.53202,-0.7497761807162391,0,-0.297328231
113,14165,-0.524470745989553,4.6,4,1,98,1988,-0.750970914947272,9,-1.989066054034816,-0.8524029083307836,10500000,7.977693,-0.0614398411711951,1,0.344236952
114,10455,-1.2352487935600538,6.6,5,1,88,1988,-0.8101262178255764,0,0.3894115638276583,-1.1721435038691463,3000000,3.71926,-1.259978723277601,1,3.343352333
115,5006,-1.0220153792889035,4.5,5,1,91,1988,-0.8970095723764877,4,-2.107989934927939,-0.3621339951719605,22000000,3.007873,-1.460199081264924,0,-0.202254591
116,10850,-1.448482207831204,6.0,5,1,85,1988,-0.8038280117239779,0,-0.3241317215310835,-1.253144454738865,1100000,6.595038,-0.4505890371404245,0,-0.389652727
117,13416,-0.0980039174472525,6.1,5,1,104,1988,-0.7629135893019485,4,-0.2052078406379602,-0.873718948033341,10000000,5.611184,-0.727495418740397,1,1.1486757
118,11122,-1.377404403074154,5.3,4,1,86,1988,-0.7994910191679405,4,-1.1565988877829496,-1.1081953847614738,4500000,9.97523,0.5007683144922103,0,-0.152601556
119,20378,1.6789412014789995,7.0,4,1,129,1988,-0.651905713658079,3,0.8651070874001535,-0.3621339951719605,22000000,11.978983,1.0647259676095322,1,0.123658136
120,10474,-0.1690817222043026,5.9,5,1,103,1988,-0.8098232661396767,4,-0.4430556024242068,-1.2147755832742615,2000000,3.265426,-1.3877106131586627,0,-0.6374345
121,18528,-0.524470745989553,6.5,5,1,98,1988,-0.6814036409693629,8,0.270487682934535,-1.0016151862486862,7000000,7.791952,-0.1137167727329518,1,1.799290143
122,15946,0.9681631539084988,7.3,3,1,119,1988,-0.7225731806005711,6,1.2218787300795244,-1.044247265653801,6000000,4.861698,-0.9384387663507509,0,-0.0532475
123,10789,-0.5955485507466031,6.5,5,1,97,1988,-0.8048006460839716,0,0.270487682934535,-1.1721435038691463,3000000,8.733192,0.1511958694041521,1,1.427617
124,8595,0.5416963253661982,6.2,5,1,113,1988,-0.839783593392597,6,-0.0862839597448358,-1.0016151862486862,7000000,8.120652,-0.0212039327872781,0,-0.236489
125,12143,-1.0220153792889035,6.3,5,1,91,1988,-0.7832113522572265,0,0.0326399211482874,-0.6179264716026508,16000000,15.133316,1.9525151491256785,1,0.576015188
126,6985,-1.306326598317104,7.0,5,1,87,1988,-0.8654547625662008,0,0.8651070874001535,-1.142301048285566,3700000,10.018693,0.513001005586092,0,-0.690431351
127,12956,0.7549297396373484,5.3,3,1,116,1988,-0.7702482090658352,1,-1.1565988877829496,-0.5539783524949782,17500000,12.167265,1.117718065360221,1,0.081423943
128,7622,1.0392409586655489,6.9,4,0,120,1988,-0.8552979086757749,6,0.7461832065070303,-0.6605585510077658,15000000,3.970538,-1.1892563582156328,0,-0.539413533
129,12590,0.0441516920668476,6.6,4,1,106,1988,-0.7760840152257974,4,0.3894115638276583,-0.4473981539821905,20000000,4.619593,-1.0065793842851811,1,1.1592399
130,10745,0.3284629110950479,7.3,5,1,110,1988,-0.805502218409213,6,1.2218787300795244,-1.1295114244640314,4000000,6.865513,-0.374463663290999,0,-0.132857
131,2850,-0.4533929412325029,5.5,3,1,99,1988,-0.9313866163133137,1,-0.918751125996702,-0.5326623127924207,18000000,7.368928,-0.2327771670292058,0,-0.895343833
132,1724,-1.7327934268594043,4.5,5,1,81,1988,-0.9493404899092628,4,-2.107989934927939,-1.2910870054094177,210000,1.569865,-1.86492741696495,0,-0.4888
133,4132,-0.524470745989553,6.0,3,1,98,1988,-0.9109453499278728,6,-0.3241317215310835,-0.6605585510077658,15000000,2.097317,-1.7164756906034482,0,-0.884462
134,6938,1.6078633967219491,5.8,5,1,128,1988,-0.8662041693681631,4,-0.5619794833173312,-0.6605585510077658,15000000,5.764399,-0.6843729521377915,1,0.402151133
135,3419,0.3284629110950479,6.4,5,1,110,1988,-0.9223140105618972,5,0.1515638020414117,-1.1721435038691463,3000000,2.478231,-1.6092671846251507,0,-0.371895
136,2935,-0.5955485507466031,6.9,3,1,97,1988,-0.930031306139552,4,0.7461832065070303,-1.1295114244640314,4000000,2.00871,-1.7414141913916026,1,3.06560375
137,3961,-0.5955485507466031,5.7,5,1,97,1988,-0.9136719151009696,4,-0.6809033642104544,-0.4900302333873056,19000000,1.264947,-1.9507467967354244,0,-0.420773474
138,3333,-0.2401595269613527,5.7,5,1,102,1988,-0.9236852655612324,5,-0.6809033642104544,-0.4900302333873056,19000000,1.835663,-1.790118387966227,0,-0.758186737
139,1968,-0.5955485507466031,6.0,5,1,97,1988,-0.945449952469288,5,-0.3241317215310835,-1.2574076626793764,1000000,2.06747,-1.7248761491792273,0,-0.507481
140,1563,-0.3823151364754528,5.9,5,0,100,1988,-0.9519076068266232,6,-0.4430556024242068,-1.0868793450589165,5000000,1.129645,-1.9888276372292777,0,-0.9141944
141,2789,-0.0269261126902024,5.9,3,1,105,1988,-0.9323592506733074,4,-0.4430556024242068,-0.5326623127924207,18000000,2.100768,-1.7155044042917582,0,-0.492777833
142,734,-0.2401595269613527,4.2,3,1,102,1988,-0.965125867227193,4,-2.46476157760731,-0.7458227098179959,13000000,0.674285,-2.1169890208546565,0,-0.980075462
143,704,-0.3823151364754528,4.9,5,0,100,1988,-0.965604211994403,9,-1.6322944113554438,-1.0016151862486862,7000000,0.861473,-2.064304830152646,0,-0.980542429
144,81242,-0.0980039174472525,6.3,5,1,104,1989,0.3185601500575875,0,0.0326399211482874,1.0447246251968365,55000000,7.507261,-0.1938432495110895,1,0.152883891
145,115848,-0.5955485507466031,7.6,4,1,97,1989,0.8703467838599066,4,1.5786503727588954,-0.1489735981463852,27000000,9.802574,0.4521741651351666,1,1.641481481
146,90901,-1.0930931840459537,6.9,3,1,90,1989,0.4725712202736367,1,0.7461832065070303,-0.873718948033341,10000000,15.109261,1.9457448529136516,1,3.0485039
147,65617,1.0392409586655489,7.9,5,1,120,1989,0.069422250469041,4,1.9354220154382675,-1.0229312259512435,6500000,10.465403,0.6387278407918476,1,3.237760769
148,107207,1.181396568179649,7.9,5,1,122,1989,0.7325675460778504,3,1.9354220154382675,-0.5326623127924207,18000000,7.521346,-0.1898790166220269,1,0.490555556
149,152597,0.1863073015809478,6.5,3,1,108,1989,1.456303178866594,0,0.270487682934535,0.2773471959047653,37000000,16.414239,2.3130318040746656,1,2.040398324
150,37913,1.323552177693749,7.0,4,1,124,1989,-0.3723131972238287,4,0.8651070874001535,0.0215547194740749,31000000,8.09806,-0.0275624666481014,1,2.227349355
151,79153,1.9632524205072,6.6,4,0,133,1989,0.2852514094341972,0,0.3894115638276583,0.06418679887919,32000000,11.137888,0.8279992042566072,1,0.083344219
152,47303,0.1152294968238977,5.4,3,1,107,1989,-0.2225912850870958,0,-1.0376750068898253,-0.1148679346222931,27800000,12.308007,1.157329997576935,1,0.878059317
153,35439,0.5416963253661982,7.1,5,1,113,1989,-0.4117606956930807,5,0.9840309682932769,-0.3408179554694029,22500000,7.435688,-0.2139875193420348,0,-0.170163689
154,40102,-0.1690817222043026,6.8,5,1,103,1989,-0.3374099740430717,4,0.627259325613906,-0.5326623127924207,18000000,17.367336,2.581281606976102,1,1.606054833
155,32517,-1.1641709888030038,5.1,5,1,89,1989,-0.4583514760193357,8,-1.3944466495691974,-1.044247265653801,6000000,7.534739,-0.1861095476065344,1,2.6947265
156,25441,-0.3823151364754528,4.6,5,1,100,1989,-0.5711770617786032,1,-1.989066054034816,-1.0868793450589165,5000000,7.743144,-0.1274538177346812,1,1.8687952
157,15602,0.7549297396373484,5.9,5,1,116,1989,-0.7280582005979125,4,-0.4430556024242068,-0.02107735993104,30000000,9.01086,0.2293457180261028,1,1.028829
158,29118,-1.5195600125882542,6.7,0,0,84,1989,-0.5125479381442297,2,0.5083354447207826,-0.7117170462939039,13800000,7.068389,-0.3173640742529142,1,0.963770072
159,16426,-0.7377041602607033,6.1,3,1,95,1989,-0.7149196643252109,4,-0.2052078406379602,-0.9589831068435712,8000000,10.357224,0.6082807872096054,1,3.39387
160,11308,-0.6666263555036532,6.0,3,1,96,1989,-0.7965252816112385,1,-0.3241317215310835,-1.044247265653801,6000000,5.763954,-0.684498197692327,1,1.379816667
