budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket
4700000,1705139,Lady in White,22.04.1988 00:00,113,6.7,5135,1988,0,-0.637204468,-60
700000,7179298,Women on the Verge of a Nervous Breakdown,11.11.1988 00:00,88,7.6,27755,1988,1,9.25614,930
3000000,7282851,Phantasm II,8.07.1988 00:00,97,6.5,10789,1988,1,1.427617,140
25000000,16118077,Luces de una gran ciudad,1.04.1988 00:00,107,5.6,6165,1988,0,-0.35527692,-40
7000000,5344577,Monkey Shines,29.07.1988 00:00,113,6.2,8595,1988,0,-0.236489,-20
19000000,25537221,Funny Farm,3.06.1988 00:00,101,6.1,16321,1988,1,0.344064263,30
16000000,25216243,Alien Nation,7.10.1988 00:00,91,6.3,12143,1988,1,0.576015188,60
7000000,20257000,Action Jackson,12.02.1988 00:00,96,5.2,8065,1988,1,1.893857143,190
22000000,13825794,The Milagro Beanfield War,18.03.1988 00:00,117,6.9,5289,1988,0,-0.371554818,-40
23000000,19652638,Tucker: The Man and His Dream,12.08.1988 00:00,110,6.9,12469,1988,0,-0.145537478,-10
6500000,14545844,School Daze,12.02.1988 00:00,121,5.8,5042,1988,1,1.237822154,120
3700000,1145404,Miracle Mile,19.05.1989 00:00,87,7,6985,1988,0,-0.690431351,-70
17500000,18924919,Cocoon: The Return,23.11.1988 00:00,116,5.3,12956,1988,1,0.081423943,10
4000000,670774,Apartment Zero,15.09.1989 00:00,124,6.9,3259,1988,0,-0.8323065,-80
10000000,1562749,Another Woman,18.11.1988 00:00,81,7.4,10826,1988,0,-0.8437251,-80
9000000,2181286,Bird,30.09.1988 00:00,161,7.2,9685,1988,0,-0.757634889,-80
15000000,6908797,A Cry in the Dark,11.11.1988 00:00,120,6.9,7622,1988,0,-0.539413533,-50
20000000,43184798,Biloxi Blues,25.03.1988 00:00,106,6.6,12590,1988,1,1.1592399,120
4000000,3468572,Talk Radio,13.01.1989 00:00,110,7.3,10745,1988,0,-0.132857,-10
20000000,11798302,Caddyshack II,22.07.1988 00:00,98,3.7,12956,1988,0,-0.4100849,-40
18000000,1883811,Vibes,5.08.1988 00:00,99,5.5,2850,1988,0,-0.895343833,-90
19000000,25816139,Betrayed,26.08.1988 00:00,127,6.3,4580,1988,1,0.358744158,40
16000000,4192440,Escorpion rojo,21.04.1989 00:00,105,5,6925,1988,0,-0.7379725,-70
6000000,40397,Pulse,4.03.1988 00:00,95,5.5,1781,1988,0,-0.993267167,-100
